TYPE LAT LON H FREQ A ICAO NAME
T 21.317454 -157.916030 13 257.8 50 PHNL "Honolulu International"
T 21.317454 -157.916030 13 118.1 50 PHNL "Honolulu International"
T 32.366673 -064.678947 14 118.1 50 TXKF "Bermuda International"
T 12.5014 -70.0152 60 118 50 TNCA "Reina Beatrix"
T 12.5014 -70.0152 60 121.9 50 TNCA "Reina Beatrix"
T 12.5014 -70.0152 60 123.1 50 TNCA "Reina Beatrix"
T 17.1367 -61.7927 62 118.2 50 TAPA "V C Bird"
T 25.3286 55.5172 111 118.6 50 OMSJ "Sharjah"
T 24.433 54.6511 88 119.2 50 OMAA "Abu Dhabi"
T 24.433 54.6511 88 121.75 50 OMAA "Abu Dhabi"
T 24.433 54.6511 88 270 50 OMAA "Abu Dhabi"
T 35.2077 0.147142 1686 119.7 50 DAOV "Ghriss"
T 35.6239 -0.621183 295 118.1 50 DAOO "Es Senia"
T 35.6239 -0.621183 295 119.7 50 DAOO "Es Senia"
T 41.4147 19.7206 125 122 50 LATI "Tirana Rinas"
T 41.4147 19.7206 125 122.5 50 LATI "Tirana Rinas"
T -34.8235 -58.5288 66 118.6 50 SAEZ "Ministro Pistarini"
T -12.4147 130.877 103 133.1 50 YPDN "Darwin"
T -12.4147 130.877 103 257.8 50 YPDN "Darwin"
T -38.0394 144.469 35 120.1 50 YMAV "Avalon"
T -38.0394 144.469 35 314.6 50 YMAV "Avalon"
T -27.5703 153.008 63 118.1 50 YBAF "Archerfield"
T -27.5703 153.008 63 123.6 50 YBAF "Archerfield"
T -17.5814 123.828 300 118.3 50 YCIN "Curtin"
T -17.5814 123.828 300 257.8 50 YCIN "Curtin"
T -16.8858 145.755 10 124.9 50 YBCS "Cairns"
T -31.0839 150.847 1334 118.25 50 YSTW "Tamworth"
T -31.0839 150.847 1334 119.4 50 YSTW "Tamworth"
T -27.3842 153.118 13 120.5 50 YBBN "Brisbane"
T -27.4114 151.735 1335 120.1 50 YBOK "Oakey"
T -27.4114 151.735 1335 279.5 50 YBOK "Oakey"
T -27.4114 151.735 1335 43.55 50 YBOK "Oakey"
T -28.1644 153.505 21 118.7 50 YBCG "Coolangatta"
T -37.9758 145.102 50 118.1 50 YMMB "Moorabbin"
T -37.9758 145.102 50 123 50 YMMB "Moorabbin"
T -21.1717 149.18 19 124.5 50 YBMK "Mackay"
T -33.6006 150.781 67 135.5 50 YSRI "Richmond"
T -33.6006 150.781 67 257.3 50 YSRI "Richmond"
T -38.0989 147.149 23 118.3 50 YMES "East Sale"
T -38.0989 147.149 23 257.8 50 YMES "East Sale"
T -38.0989 147.149 23 350 50 YMES "East Sale"
T -33.9461 151.177 21 120.5 50 YSSY "Sydney"
T -33.9461 151.177 21 124.7 50 YSSY "Sydney"
T -36.0678 146.958 539 124.2 50 YMAY "Albury"
T -23.3819 150.475 34 118.1 50 YBRK "Rockhampton"
T -32.795 151.834 30 118.3 50 YWLM "Williamtown"
T -32.795 151.834 30 257.8 50 YWLM "Williamtown"
T -32.795 151.834 30 243 50 YWLM "Williamtown"
T -34.0403 150.687 230 120.1 50 YSCN "Camden"
T -19.2525 146.765 18 118.3 50 YBTL "Townsville"
T -19.2525 146.765 18 257.8 50 YBTL "Townsville"
T -19.2525 146.765 18 276 50 YBTL "Townsville"
T -34.7025 138.621 67 118.3 50 YPED "Edinburgh"
T -34.7025 138.621 67 257.8 50 YPED "Edinburgh"
T -34.7025 138.621 67 311 50 YPED "Edinburgh"
T -23.8069 133.902 1789 118.3 50 YBAS "Alice Springs"
T -34.945 138.531 20 120.5 50 YPAD "Adelaide"
T -31.9376 115.966 67 120.5 50 YPPH "Perth"
T -34.7933 138.633 57 118.7 50 YPPF "Parafield"
T -34.7933 138.633 57 124.6 50 YPPF "Parafield"
T -33.9244 150.988 29 132.8 50 YSBK "Bankstown"
T -33.9244 150.988 29 123.6 50 YSBK "Bankstown"
T -41.5453 147.214 562 118.7 50 YMLT "Launceston"
T -20.3581 148.952 15 118.7 50 YBHM "Hamilton Island"
T -37.6733 144.843 434 120.5 50 YMML "Melbourne"
T -26.6033 153.091 15 124.4 50 YBMC "Maroochydore Sunshine Coast"
T -27.6406 152.712 91 264.6 50 YAMB "Amberley"
T -27.6406 152.712 91 118.3 50 YAMB "Amberley"
T -27.6406 152.712 91 359 50 YAMB "Amberley"
T -42.8361 147.51 13 118.1 50 YMHB "Hobart"
T -37.7281 144.902 282 125.1 50 YMEN "Essendon"
T -34.9489 150.537 400 118.85 50 YSNW "Nowra"
T -34.9489 150.537 400 267.2 50 YSNW "Nowra"
T -34.9489 150.537 400 359 50 YSNW "Nowra"
T -31.6678 116.015 149 118.3 50 YPEA "Pearce"
T -31.6678 116.015 149 257.8 50 YPEA "Pearce"
T -14.5211 132.378 443 119.7 50 YPTN "Tindal"
T -14.5211 132.378 443 257.3 50 YPTN "Tindal"
T -30.3206 153.116 18 118.2 50 YSCH "Coffs Harbour"
T -35.3083 149.194 1888 118.7 50 YSCB "Canberra"
T -22.2356 114.089 19 257.8 50 YPLM "Learmonth"
T -22.2356 114.089 19 118.3 50 YPLM "Learmonth"
T 48.1103 16.5697 600 119.4 50 LOWW "Schwechat"
T 48.1103 16.5697 600 121.2 50 LOWW "Schwechat"
T 47.8433 16.2601 902 123.25 50 LOAN "Wiener Neustadt East"
T 47.8433 16.2601 902 130.15 50 LOAN "Wiener Neustadt East"
T 47.2602 11.344 1906 120.1 50 LOWI "Innsbruck"
T 47.7933 13.0043 1411 118.1 50 LOWS "Salzburg"
T 47.2028 14.7442 2220 118.7 50 LOXZ "Zeltweg"
T 47.2028 14.7442 2220 132.65 50 LOXZ "Zeltweg"
T 48.3211 16.1119 575 118.9 50 LOXT "Tulln"
